timestamp,sender,subject,severity,action_taken
2025-01-29 13:27:12,service@anz.com,Reset Your Password,high,allowed
2025-01-06 14:58:29,fake@paypal.com,Security Alert,high,blocked
2025-01-17 15:45:54,unknown@mail.ru,Urgent: Account Locked!,high,blocked
2025-01-25 15:07:53,unknown@mail.ru,Security Alert,medium,blocked
2025-01-08 14:34:35,unknown@mail.ru,Security Alert,medium,flagged
2025-01-29 00:56:39,billing@apple.com,Urgent: Account Locked!,high,blocked
2025-01-23 17:59:43,fake@paypal.com,Invoice Attached,medium,flagged
2025-01-25 17:11:21,service@anz.com,Document Shared With You,medium,flagged
2025-01-16 20:41:31,hr-support@company.com,Invoice Attached,high,blocked
2025-01-20 04:06:29,security@amazon.com,Document Shared With You,critical,blocked
2025-01-03 10:01:01,service@anz.com,Security Alert,medium,blocked
2025-01-18 15:02:36,unknown@mail.ru,Reset Your Password,critical,allowed
2025-01-22 16:32:50,billing@apple.com,Reset Your Password,medium,allowed
2025-01-26 19:20:57,billing@apple.com,Reset Your Password,high,allowed
2025-01-18 06:29:06,billing@apple.com,Reset Your Password,high,allowed
2025-01-04 01:57:48,fake@paypal.com,Security Alert,high,allowed
2025-01-16 02:21:01,fake@paypal.com,Document Shared With You,high,blocked
2025-01-09 14:25:12,unknown@mail.ru,Payment Needed,critical,blocked
2025-01-03 22:17:02,service@anz.com,Payment Needed,high,blocked
2025-01-08 18:59:44,unknown@mail.ru,Urgent: Account Locked!,high,allowed
2025-01-26 09:19:16,unknown@mail.ru,Security Alert,medium,blocked
2025-01-06 22:16:30,fake@paypal.com,Urgent: Account Locked!,high,blocked
2025-01-12 12:57:42,unknown@mail.ru,Invoice Attached,critical,blocked
2025-01-29 15:14:11,service@anz.com,Document Shared With You,medium,blocked
2025-01-06 11:53:19,security@amazon.com,Document Shared With You,high,allowed
2025-01-30 03:03:18,hr-support@company.com,Document Shared With You,medium,allowed
2025-01-10 02:52:47,billing@apple.com,Payment Needed,critical,blocked
2025-01-18 06:11:50,service@anz.com,Payment Needed,high,blocked
2025-01-10 05:47:58,hr-support@company.com,Document Shared With You,high,blocked
2025-01-06 23:41:29,hr-support@company.com,Security Alert,high,blocked
2025-01-22 16:58:56,fake@paypal.com,Security Alert,critical,allowed
2025-01-24 06:26:06,unknown@mail.ru,Payment Needed,medium,blocked
2025-01-16 08:20:34,hr-support@company.com,Document Shared With You,medium,blocked
2025-01-17 10:40:45,fake@paypal.com,Payment Needed,medium,blocked
2025-01-07 22:13:54,hr-support@company.com,Payment Needed,high,blocked
2025-01-14 17:42:43,fake@paypal.com,Document Shared With You,high,flagged
2025-01-02 03:01:58,unknown@mail.ru,Security Alert,critical,blocked
2025-01-19 00:10:46,hr-support@company.com,Urgent: Account Locked!,medium,allowed
2025-01-22 03:53:57,hr-support@company.com,Urgent: Account Locked!,critical,allowed
2025-01-16 01:31:23,service@anz.com,Invoice Attached,high,flagged
2025-01-18 04:54:43,unknown@mail.ru,Invoice Attached,high,flagged
2025-01-24 18:44:44,service@anz.com,Document Shared With You,medium,flagged
2025-01-18 15:59:02,billing@apple.com,Payment Needed,medium,flagged
2025-01-23 07:55:55,unknown@mail.ru,Document Shared With You,high,flagged
2025-01-22 14:18:48,security@amazon.com,Urgent: Account Locked!,medium,blocked
2025-01-11 05:38:49,security@amazon.com,Payment Needed,critical,flagged
2025-01-11 05:15:23,security@amazon.com,Urgent: Account Locked!,high,blocked
2025-01-19 15:33:49,security@amazon.com,Reset Your Password,high,flagged
2025-01-28 06:39:53,hr-support@company.com,Urgent: Account Locked!,high,allowed
2025-01-24 02:02:05,service@anz.com,Urgent: Account Locked!,medium,flagged
2025-01-09 23:22:46,security@amazon.com,Urgent: Account Locked!,high,flagged
2025-01-30 04:51:25,billing@apple.com,Security Alert,high,allowed
2025-01-22 08:53:19,fake@paypal.com,Invoice Attached,medium,allowed
2025-01-09 09:45:55,security@amazon.com,Payment Needed,critical,flagged
2025-01-25 11:39:55,service@anz.com,Reset Your Password,high,allowed
2025-01-30 06:05:02,billing@apple.com,Security Alert,medium,flagged
2025-01-29 04:12:01,billing@apple.com,Reset Your Password,high,blocked
2025-01-15 00:30:08,hr-support@company.com,Security Alert,critical,flagged
2025-01-09 11:01:09,fake@paypal.com,Security Alert,medium,blocked
2025-01-23 11:47:14,billing@apple.com,Invoice Attached,high,flagged
2025-01-02 08:40:00,unknown@mail.ru,Invoice Attached,critical,blocked
2025-01-12 19:25:45,hr-support@company.com,Invoice Attached,medium,blocked
2025-01-05 08:16:25,unknown@mail.ru,Reset Your Password,high,flagged
2025-01-22 12:06:23,hr-support@company.com,Urgent: Account Locked!,high,flagged
2025-01-03 11:51:38,unknown@mail.ru,Urgent: Account Locked!,critical,allowed
2025-01-20 19:01:36,billing@apple.com,Payment Needed,medium,flagged
2025-01-14 00:23:28,unknown@mail.ru,Document Shared With You,critical,blocked
2025-01-26 01:02:11,hr-support@company.com,Urgent: Account Locked!,high,blocked
2025-01-07 05:56:04,hr-support@company.com,Invoice Attached,medium,flagged
2025-01-21 12:05:20,billing@apple.com,Urgent: Account Locked!,medium,allowed
2025-01-06 10:15:14,service@anz.com,Document Shared With You,medium,blocked
2025-01-17 19:37:28,hr-support@company.com,Urgent: Account Locked!,high,allowed
2025-01-04 03:49:01,hr-support@company.com,Payment Needed,high,blocked
2025-01-17 20:37:23,fake@paypal.com,Document Shared With You,critical,blocked
2025-01-12 10:45:32,service@anz.com,Reset Your Password,medium,blocked
2025-01-18 23:26:12,billing@apple.com,Document Shared With You,medium,blocked
2025-01-15 19:40:24,fake@paypal.com,Security Alert,medium,allowed
2025-01-05 21:29:28,hr-support@company.com,Security Alert,medium,allowed
2025-01-13 17:15:34,hr-support@company.com,Document Shared With You,medium,flagged
2025-01-26 23:10:47,hr-support@company.com,Reset Your Password,high,flagged
2025-01-26 07:44:30,billing@apple.com,Urgent: Account Locked!,high,blocked
2025-01-21 11:29:21,security@amazon.com,Payment Needed,high,allowed
2025-01-03 01:52:25,service@anz.com,Document Shared With You,medium,allowed
2025-01-29 14:24:00,service@anz.com,Document Shared With You,high,allowed
2025-01-20 01:06:32,hr-support@company.com,Document Shared With You,high,allowed
2025-01-13 17:03:35,unknown@mail.ru,Document Shared With You,critical,allowed
2025-01-13 21:22:24,security@amazon.com,Security Alert,high,blocked
2025-01-03 15:38:02,service@anz.com,Reset Your Password,medium,allowed
2025-01-21 01:03:15,hr-support@company.com,Reset Your Password,medium,allowed
2025-01-23 08:25:00,service@anz.com,Security Alert,medium,flagged
2025-01-27 15:03:24,hr-support@company.com,Security Alert,medium,flagged
2025-01-10 20:48:37,fake@paypal.com,Payment Needed,high,blocked
2025-01-15 04:52:21,hr-support@company.com,Invoice Attached,critical,blocked
2025-01-06 04:27:03,hr-support@company.com,Payment Needed,critical,flagged
2025-01-12 15:43:17,unknown@mail.ru,Security Alert,critical,blocked
2025-01-13 04:58:31,hr-support@company.com,Payment Needed,high,blocked
2025-01-02 14:58:50,security@amazon.com,Invoice Attached,high,blocked
2025-01-28 20:02:33,security@amazon.com,Security Alert,medium,flagged
2025-01-27 20:31:48,hr-support@company.com,Urgent: Account Locked!,high,blocked
2025-01-03 20:42:37,security@amazon.com,Reset Your Password,high,blocked
2025-01-21 04:03:26,hr-support@company.com,Reset Your Password,medium,allowed
2025-01-18 03:56:43,security@amazon.com,Payment Needed,critical,allowed
2025-01-24 01:33:24,billing@apple.com,Urgent: Account Locked!,high,blocked
2025-01-07 17:29:33,service@anz.com,Security Alert,medium,flagged
2025-01-09 13:01:08,hr-support@company.com,Invoice Attached,high,blocked
2025-01-01 03:50:36,hr-support@company.com,Payment Needed,high,flagged
2025-01-24 20:42:03,unknown@mail.ru,Invoice Attached,high,allowed
2025-01-29 17:03:44,security@amazon.com,Invoice Attached,high,blocked
2025-01-15 17:52:48,fake@paypal.com,Urgent: Account Locked!,high,flagged
2025-01-06 13:25:09,billing@apple.com,Urgent: Account Locked!,medium,blocked
2025-01-21 03:39:28,hr-support@company.com,Reset Your Password,medium,flagged
2025-01-02 00:19:39,service@anz.com,Invoice Attached,medium,flagged
2025-01-15 07:15:34,fake@paypal.com,Invoice Attached,high,blocked
2025-01-17 03:24:44,hr-support@company.com,Urgent: Account Locked!,critical,blocked
2025-01-29 12:54:31,fake@paypal.com,Document Shared With You,high,blocked
2025-01-02 03:51:55,unknown@mail.ru,Urgent: Account Locked!,critical,allowed
2025-01-11 21:28:04,billing@apple.com,Reset Your Password,medium,flagged
2025-01-25 19:50:59,hr-support@company.com,Urgent: Account Locked!,high,blocked
2025-01-05 08:33:32,hr-support@company.com,Reset Your Password,critical,blocked
2025-01-29 02:24:24,billing@apple.com,Document Shared With You,high,flagged
2025-01-09 00:31:33,fake@paypal.com,Invoice Attached,high,blocked
2025-01-17 21:56:24,unknown@mail.ru,Payment Needed,high,blocked
2025-01-06 06:15:09,security@amazon.com,Payment Needed,medium,allowed
2025-01-27 03:41:02,service@anz.com,Security Alert,medium,blocked
2025-01-12 17:22:14,security@amazon.com,Urgent: Account Locked!,medium,blocked
2025-01-28 14:05:55,service@anz.com,Urgent: Account Locked!,medium,allowed
2025-01-05 12:51:48,billing@apple.com,Reset Your Password,high,blocked
2025-01-05 02:49:55,hr-support@company.com,Security Alert,medium,allowed
2025-01-02 21:53:10,fake@paypal.com,Invoice Attached,medium,blocked
2025-01-07 19:38:48,unknown@mail.ru,Urgent: Account Locked!,medium,flagged
2025-01-06 15:17:57,billing@apple.com,Invoice Attached,high,blocked
2025-01-22 08:16:59,security@amazon.com,Document Shared With You,medium,blocked
2025-01-10 08:14:46,unknown@mail.ru,Security Alert,medium,allowed
2025-01-07 12:01:33,fake@paypal.com,Reset Your Password,critical,flagged
2025-01-26 04:56:26,billing@apple.com,Document Shared With You,high,blocked
2025-01-05 17:39:55,hr-support@company.com,Document Shared With You,high,blocked
2025-01-29 05:52:54,unknown@mail.ru,Document Shared With You,critical,flagged
2025-01-08 20:59:06,service@anz.com,Security Alert,high,blocked
2025-01-18 14:31:45,service@anz.com,Security Alert,medium,allowed
2025-01-18 21:33:11,security@amazon.com,Urgent: Account Locked!,high,blocked
2025-01-30 02:08:10,security@amazon.com,Invoice Attached,medium,blocked
2025-01-28 15:25:53,hr-support@company.com,Security Alert,high,flagged
2025-01-19 02:26:31,unknown@mail.ru,Urgent: Account Locked!,critical,flagged
2025-01-07 01:35:02,unknown@mail.ru,Payment Needed,high,flagged
2025-01-25 07:23:20,hr-support@company.com,Urgent: Account Locked!,critical,blocked
2025-01-28 20:58:00,fake@paypal.com,Document Shared With You,high,flagged
2025-01-17 01:51:22,security@amazon.com,Reset Your Password,high,flagged
2025-01-09 11:44:58,fake@paypal.com,Security Alert,medium,flagged
2025-01-13 11:55:00,hr-support@company.com,Reset Your Password,high,flagged
2025-01-17 21:51:52,security@amazon.com,Payment Needed,medium,allowed
2025-01-25 13:20:09,security@amazon.com,Document Shared With You,medium,blocked
2025-01-21 04:23:21,service@anz.com,Reset Your Password,high,flagged
2025-01-22 12:14:43,unknown@mail.ru,Document Shared With You,critical,flagged
2025-01-06 09:52:09,hr-support@company.com,Urgent: Account Locked!,critical,allowed
2025-01-16 22:58:01,hr-support@company.com,Invoice Attached,high,blocked
2025-01-01 07:52:15,billing@apple.com,Reset Your Password,medium,blocked
2025-01-19 15:40:51,billing@apple.com,Security Alert,critical,flagged
2025-01-08 21:04:31,hr-support@company.com,Payment Needed,critical,flagged
2025-01-08 16:51:43,security@amazon.com,Invoice Attached,medium,blocked
2025-01-29 19:46:16,security@amazon.com,Payment Needed,medium,blocked
2025-01-02 01:17:41,hr-support@company.com,Urgent: Account Locked!,medium,flagged
2025-01-22 08:15:09,billing@apple.com,Urgent: Account Locked!,medium,blocked
2025-01-14 21:03:28,fake@paypal.com,Security Alert,high,blocked
2025-01-05 08:39:40,hr-support@company.com,Security Alert,medium,flagged
2025-01-27 07:44:52,security@amazon.com,Invoice Attached,high,allowed
2025-01-30 18:30:12,service@anz.com,Document Shared With You,high,blocked
2025-01-23 13:12:46,service@anz.com,Document Shared With You,high,flagged
2025-01-22 18:16:02,hr-support@company.com,Security Alert,high,blocked
2025-01-10 15:08:36,security@amazon.com,Invoice Attached,high,blocked
2025-01-02 17:50:07,service@anz.com,Payment Needed,high,blocked
2025-01-17 10:32:39,unknown@mail.ru,Security Alert,medium,allowed
2025-01-25 23:24:20,hr-support@company.com,Invoice Attached,medium,blocked
2025-01-26 18:00:01,security@amazon.com,Invoice Attached,high,blocked
2025-01-30 04:57:16,hr-support@company.com,Urgent: Account Locked!,high,flagged
2025-01-09 03:25:39,unknown@mail.ru,Urgent: Account Locked!,critical,blocked
2025-01-24 12:58:37,service@anz.com,Security Alert,critical,blocked
2025-01-21 05:59:11,service@anz.com,Payment Needed,medium,blocked
2025-01-03 02:32:30,hr-support@company.com,Invoice Attached,high,flagged
2025-01-27 17:25:01,billing@apple.com,Document Shared With You,critical,allowed
2025-01-19 06:18:38,service@anz.com,Security Alert,medium,blocked
2025-01-21 22:14:59,billing@apple.com,Security Alert,high,allowed
2025-01-10 20:55:03,fake@paypal.com,Invoice Attached,critical,blocked
2025-01-03 02:44:44,service@anz.com,Security Alert,critical,flagged
2025-01-11 04:31:43,service@anz.com,Invoice Attached,medium,allowed
2025-01-15 19:30:49,unknown@mail.ru,Security Alert,high,blocked
2025-01-02 09:06:46,unknown@mail.ru,Security Alert,medium,allowed
2025-01-03 11:04:16,security@amazon.com,Document Shared With You,high,blocked
2025-01-06 10:27:02,hr-support@company.com,Document Shared With You,medium,flagged
2025-01-17 20:26:02,fake@paypal.com,Document Shared With You,medium,blocked
2025-01-08 06:40:17,unknown@mail.ru,Reset Your Password,critical,allowed
2025-01-12 19:33:15,billing@apple.com,Document Shared With You,critical,blocked
2025-01-15 14:30:26,unknown@mail.ru,Security Alert,critical,flagged
2025-01-26 08:46:35,service@anz.com,Reset Your Password,high,blocked
2025-01-10 09:54:32,security@amazon.com,Invoice Attached,high,blocked
2025-01-09 22:01:57,fake@paypal.com,Security Alert,high,blocked
2025-01-03 01:42:47,service@anz.com,Reset Your Password,medium,blocked
2025-01-16 08:44:55,unknown@mail.ru,Urgent: Account Locked!,high,flagged
2025-01-24 03:35:36,hr-support@company.com,Invoice Attached,critical,blocked
2025-01-02 21:06:13,unknown@mail.ru,Urgent: Account Locked!,high,flagged
2025-01-13 04:56:20,unknown@mail.ru,Payment Needed,medium,blocked
2025-01-01 06:59:42,hr-support@company.com,Invoice Attached,medium,flagged
2025-01-30 21:27:36,service@anz.com,Urgent: Account Locked!,medium,allowed
2025-01-30 03:59:25,unknown@mail.ru,Urgent: Account Locked!,high,allowed
2025-01-11 13:51:48,security@amazon.com,Invoice Attached,critical,flagged
2025-01-30 22:32:08,billing@apple.com,Document Shared With You,high,blocked
2025-01-03 18:10:42,billing@apple.com,Payment Needed,high,blocked
2025-01-09 21:41:17,service@anz.com,Urgent: Account Locked!,high,allowed
2025-01-18 12:48:32,fake@paypal.com,Security Alert,medium,flagged
2025-01-21 15:34:19,service@anz.com,Invoice Attached,high,blocked
2025-01-11 05:06:11,billing@apple.com,Document Shared With You,high,blocked
2025-01-15 22:51:45,service@anz.com,Invoice Attached,high,flagged
2025-01-08 04:09:16,security@amazon.com,Document Shared With You,critical,flagged
2025-01-22 00:47:37,unknown@mail.ru,Document Shared With You,high,allowed
2025-01-07 07:22:56,fake@paypal.com,Urgent: Account Locked!,high,allowed
2025-01-11 06:12:30,unknown@mail.ru,Document Shared With You,medium,allowed
2025-01-07 07:28:17,hr-support@company.com,Reset Your Password,medium,flagged
2025-01-08 07:29:30,billing@apple.com,Reset Your Password,critical,blocked
2025-01-03 15:40:43,fake@paypal.com,Security Alert,medium,blocked
2025-01-24 05:11:59,security@amazon.com,Payment Needed,medium,flagged
2025-01-12 11:54:22,fake@paypal.com,Reset Your Password,critical,flagged
2025-01-13 19:21:42,service@anz.com,Invoice Attached,medium,blocked
2025-01-23 14:22:24,unknown@mail.ru,Reset Your Password,high,flagged
2025-01-19 01:08:05,security@amazon.com,Urgent: Account Locked!,critical,blocked
2025-01-07 20:25:49,hr-support@company.com,Payment Needed,medium,flagged
2025-01-03 10:42:35,billing@apple.com,Document Shared With You,high,allowed
2025-01-17 03:30:46,unknown@mail.ru,Security Alert,medium,blocked
2025-01-29 04:58:07,hr-support@company.com,Reset Your Password,medium,flagged
2025-01-09 06:58:59,service@anz.com,Urgent: Account Locked!,critical,blocked
2025-01-24 08:13:42,billing@apple.com,Urgent: Account Locked!,high,blocked
2025-01-19 08:40:16,hr-support@company.com,Security Alert,critical,blocked
2025-01-30 07:41:43,fake@paypal.com,Urgent: Account Locked!,medium,blocked
2025-01-11 13:43:03,unknown@mail.ru,Payment Needed,medium,blocked
2025-01-15 04:50:39,unknown@mail.ru,Security Alert,critical,blocked
2025-01-08 15:56:09,unknown@mail.ru,Reset Your Password,high,allowed
2025-01-12 21:35:25,unknown@mail.ru,Document Shared With You,high,blocked
2025-01-10 15:06:24,security@amazon.com,Payment Needed,medium,flagged
2025-01-29 19:02:54,service@anz.com,Document Shared With You,medium,blocked
2025-01-10 19:19:17,hr-support@company.com,Reset Your Password,medium,blocked
2025-01-23 18:26:47,service@anz.com,Reset Your Password,medium,blocked
2025-01-26 10:00:41,security@amazon.com,Reset Your Password,medium,flagged
2025-01-26 16:44:08,service@anz.com,Urgent: Account Locked!,high,allowed
2025-01-09 12:36:57,security@amazon.com,Payment Needed,medium,allowed
2025-01-20 10:26:15,fake@paypal.com,Security Alert,medium,allowed
2025-01-07 16:10:48,fake@paypal.com,Invoice Attached,medium,flagged
2025-01-28 19:28:22,fake@paypal.com,Payment Needed,critical,blocked
2025-01-29 00:03:19,billing@apple.com,Invoice Attached,high,blocked
2025-01-27 14:36:43,fake@paypal.com,Urgent: Account Locked!,high,flagged
2025-01-05 02:18:15,fake@paypal.com,Security Alert,medium,allowed
2025-01-21 21:36:55,hr-support@company.com,Document Shared With You,medium,allowed
2025-01-27 22:32:59,hr-support@company.com,Security Alert,medium,blocked
2025-01-18 11:27:54,security@amazon.com,Urgent: Account Locked!,critical,blocked
2025-01-12 11:04:18,security@amazon.com,Invoice Attached,critical,blocked
2025-01-02 19:46:27,service@anz.com,Reset Your Password,high,allowed
2025-01-28 04:37:54,security@amazon.com,Invoice Attached,medium,blocked
2025-01-03 17:49:38,hr-support@company.com,Security Alert,high,blocked
2025-01-20 13:07:01,fake@paypal.com,Payment Needed,medium,flagged
2025-01-27 07:13:48,service@anz.com,Urgent: Account Locked!,high,blocked
2025-01-17 06:39:35,hr-support@company.com,Security Alert,medium,flagged
2025-01-28 22:25:53,security@amazon.com,Payment Needed,high,flagged
2025-01-12 12:23:43,service@anz.com,Security Alert,high,blocked
2025-01-30 12:32:29,billing@apple.com,Urgent: Account Locked!,high,blocked
2025-01-27 22:19:34,billing@apple.com,Document Shared With You,high,flagged
2025-01-01 16:28:02,service@anz.com,Reset Your Password,high,flagged
2025-01-28 05:50:26,security@amazon.com,Urgent: Account Locked!,medium,blocked
2025-01-06 17:55:59,fake@paypal.com,Security Alert,high,blocked
2025-01-09 00:10:46,hr-support@company.com,Document Shared With You,high,flagged
2025-01-27 16:40:00,fake@paypal.com,Payment Needed,critical,allowed
2025-01-24 02:35:13,fake@paypal.com,Document Shared With You,medium,flagged
2025-01-13 20:31:37,billing@apple.com,Security Alert,high,allowed
2025-01-15 22:41:48,hr-support@company.com,Urgent: Account Locked!,medium,blocked
2025-01-30 08:12:06,security@amazon.com,Reset Your Password,critical,allowed
2025-01-15 17:23:30,hr-support@company.com,Invoice Attached,medium,flagged
2025-01-13 23:10:20,service@anz.com,Security Alert,high,blocked
2025-01-08 22:40:45,hr-support@company.com,Payment Needed,medium,blocked
2025-01-26 10:25:42,unknown@mail.ru,Reset Your Password,medium,blocked
2025-01-20 12:21:41,fake@paypal.com,Payment Needed,high,blocked
2025-01-29 10:58:01,billing@apple.com,Payment Needed,high,blocked
2025-01-21 15:12:05,billing@apple.com,Document Shared With You,critical,flagged
2025-01-20 13:31:34,unknown@mail.ru,Invoice Attached,high,flagged
2025-01-08 00:39:45,service@anz.com,Reset Your Password,medium,blocked
2025-01-09 06:37:14,fake@paypal.com,Invoice Attached,high,blocked
2025-01-14 21:29:21,security@amazon.com,Payment Needed,medium,blocked
2025-01-25 16:22:32,security@amazon.com,Payment Needed,critical,allowed
2025-01-02 15:34:08,service@anz.com,Invoice Attached,medium,flagged
2025-01-28 20:56:46,fake@paypal.com,Document Shared With You,high,blocked
2025-01-18 13:05:49,billing@apple.com,Document Shared With You,high,blocked
2025-01-14 08:59:44,hr-support@company.com,Reset Your Password,high,flagged
2025-01-22 01:01:20,unknown@mail.ru,Urgent: Account Locked!,high,blocked
2025-01-17 04:18:13,unknown@mail.ru,Invoice Attached,high,blocked
2025-01-28 18:31:14,unknown@mail.ru,Payment Needed,medium,flagged
2025-01-08 18:30:19,billing@apple.com,Document Shared With You,high,blocked
2025-01-27 20:42:23,fake@paypal.com,Reset Your Password,medium,blocked
2025-01-18 07:25:51,security@amazon.com,Reset Your Password,high,flagged
2025-01-07 17:16:55,service@anz.com,Reset Your Password,high,flagged
2025-01-08 01:36:04,security@amazon.com,Urgent: Account Locked!,medium,blocked
2025-01-20 22:28:26,fake@paypal.com,Urgent: Account Locked!,medium,flagged
2025-01-08 23:01:16,security@amazon.com,Reset Your Password,high,blocked
2025-01-13 15:14:30,billing@apple.com,Reset Your Password,high,flagged
2025-01-17 02:50:32,fake@paypal.com,Invoice Attached,medium,flagged
2025-01-06 20:48:00,security@amazon.com,Invoice Attached,critical,blocked
2025-01-24 19:06:02,billing@apple.com,Security Alert,medium,flagged
2025-01-03 01:36:48,service@anz.com,Payment Needed,high,blocked
2025-01-06 00:01:47,billing@apple.com,Security Alert,medium,blocked
2025-01-07 16:12:12,service@anz.com,Security Alert,high,blocked
2025-01-28 02:44:21,fake@paypal.com,Invoice Attached,high,flagged
2025-01-08 08:37:45,unknown@mail.ru,Reset Your Password,high,blocked
2025-01-22 01:06:49,fake@paypal.com,Document Shared With You,high,flagged
2025-01-19 03:21:05,service@anz.com,Urgent: Account Locked!,medium,blocked
2025-01-10 03:26:45,security@amazon.com,Security Alert,high,allowed
2025-01-13 17:44:13,hr-support@company.com,Reset Your Password,high,allowed
2025-01-29 10:01:19,hr-support@company.com,Security Alert,high,blocked
2025-01-25 03:44:49,service@anz.com,Reset Your Password,medium,allowed
2025-01-29 21:28:54,fake@paypal.com,Document Shared With You,medium,blocked
2025-01-28 17:03:01,unknown@mail.ru,Security Alert,medium,flagged
2025-01-20 19:51:45,billing@apple.com,Document Shared With You,medium,flagged
2025-01-07 16:11:52,fake@paypal.com,Invoice Attached,medium,flagged
2025-01-23 02:39:48,fake@paypal.com,Security Alert,high,allowed
2025-01-04 02:58:25,security@amazon.com,Payment Needed,high,blocked
2025-01-10 21:32:20,service@anz.com,Reset Your Password,high,flagged
2025-01-29 01:49:37,unknown@mail.ru,Invoice Attached,high,blocked
2025-01-27 00:39:39,billing@apple.com,Urgent: Account Locked!,critical,blocked
2025-01-28 13:30:55,fake@paypal.com,Payment Needed,medium,blocked
2025-01-24 08:12:04,service@anz.com,Urgent: Account Locked!,medium,flagged
2025-01-09 18:21:23,unknown@mail.ru,Security Alert,high,blocked
2025-01-22 03:16:10,billing@apple.com,Security Alert,critical,blocked
2025-01-11 19:17:43,security@amazon.com,Document Shared With You,high,blocked
2025-01-30 14:30:34,security@amazon.com,Urgent: Account Locked!,high,allowed
2025-01-20 07:09:00,security@amazon.com,Urgent: Account Locked!,medium,blocked
2025-01-09 06:16:05,security@amazon.com,Urgent: Account Locked!,high,blocked
2025-01-10 13:30:57,unknown@mail.ru,Invoice Attached,critical,blocked
2025-01-15 02:22:09,service@anz.com,Payment Needed,medium,blocked
2025-01-02 11:39:43,billing@apple.com,Reset Your Password,medium,flagged
2025-01-21 03:10:36,security@amazon.com,Document Shared With You,medium,flagged
2025-01-10 16:47:57,billing@apple.com,Urgent: Account Locked!,medium,blocked
2025-01-02 21:22:20,billing@apple.com,Payment Needed,medium,flagged
2025-01-25 01:30:46,unknown@mail.ru,Payment Needed,critical,blocked
2025-01-11 13:49:05,unknown@mail.ru,Document Shared With You,high,allowed
2025-01-19 11:14:13,fake@paypal.com,Payment Needed,medium,blocked
2025-01-29 13:51:15,hr-support@company.com,Invoice Attached,high,blocked
2025-01-02 19:42:31,service@anz.com,Urgent: Account Locked!,medium,blocked
2025-01-03 23:53:50,hr-support@company.com,Invoice Attached,medium,blocked
