timestamp,source_ip,destination_ip,action,severity,details,alert_type,status,sender,subject,action_taken
2025-01-13 08:43:53,192.168.3.23,220.121.169.238,allowed,critical,Suspicious outbound,,,,,
2025-01-25 20:33:06,192.168.6.123,132.245.80.188,allowed,critical,Port scan detected,,,,,
2025-01-21 06:16:28,192.168.58.70,219.92.100.7,blocked,medium,Port scan detected,,,,,
2025-01-13 17:45:20,192.168.156.170,67.137.47.103,allowed,critical,Malware signature found,,,,,
2025-01-20 08:32:08,192.168.69.27,162.122.79.230,allowed,medium,Port scan detected,,,,,
2025-01-27 00:24:39,192.168.181.247,125.240.92.231,blocked,medium,Port scan detected,,,,,
2025-01-18 04:29:00,192.168.232.97,1.59.55.144,blocked,medium,Port scan detected,,,,,
2025-01-20 12:58:25,192.168.90.254,99.180.55.93,allowed,high,Malware signature found,,,,,
2025-01-20 10:26:48,192.168.22.42,229.27.41.214,allowed,high,Malware signature found,,,,,
2025-01-23 01:15:11,192.168.70.210,218.78.39.3,allowed,medium,Brute-force attempt,,,,,
2025-01-22 19:50:10,192.168.12.229,95.66.173.112,allowed,high,Suspicious outbound,,,,,
2025-01-16 03:41:01,192.168.36.100,93.132.108.163,allowed,high,Malware signature found,,,,,
2025-01-27 08:34:36,192.168.68.45,247.63.218.24,allowed,high,Normal traffic,,,,,
2025-01-14 02:42:29,192.168.207.217,48.158.67.30,blocked,medium,Brute-force attempt,,,,,
2025-01-17 17:04:42,192.168.72.166,207.187.209.220,allowed,medium,Suspicious outbound,,,,,
2025-01-28 22:48:09,192.168.75.145,100.160.204.146,allowed,medium,Brute-force attempt,,,,,
2025-01-29 16:15:04,192.168.180.67,53.162.16.10,allowed,high,Normal traffic,,,,,
2025-01-20 14:21:43,192.168.174.197,15.216.228.161,blocked,medium,Port scan detected,,,,,
2025-01-12 23:48:29,192.168.111.197,47.14.130.221,allowed,medium,Normal traffic,,,,,
2025-01-02 07:07:22,192.168.99.214,74.126.139.28,allowed,medium,Suspicious outbound,,,,,
2025-01-12 07:40:35,192.168.205.217,109.18.104.106,allowed,medium,Normal traffic,,,,,
2025-01-07 16:33:08,192.168.149.236,192.123.167.153,blocked,high,Suspicious outbound,,,,,
2025-01-20 23:30:07,192.168.77.222,242.130.35.48,blocked,high,Port scan detected,,,,,
2025-01-23 13:31:20,192.168.37.27,124.222.153.10,blocked,medium,Malware signature found,,,,,
2025-01-07 15:36:42,192.168.241.98,37.167.216.29,allowed,medium,Normal traffic,,,,,
2025-01-21 22:14:18,192.168.154.101,232.157.192.150,allowed,high,Suspicious outbound,,,,,
2025-01-09 08:05:03,192.168.226.84,47.81.153.121,blocked,high,Suspicious outbound,,,,,
2025-01-11 20:18:06,192.168.180.181,111.231.25.22,blocked,high,Port scan detected,,,,,
2025-01-09 16:51:52,192.168.173.172,131.235.87.17,allowed,medium,Brute-force attempt,,,,,
2025-01-26 21:58:40,192.168.193.115,64.43.169.111,allowed,medium,Suspicious outbound,,,,,
2025-01-28 12:32:17,192.168.93.154,6.67.171.150,blocked,medium,Port scan detected,,,,,
2025-01-18 05:13:26,192.168.31.116,19.130.233.246,allowed,critical,Brute-force attempt,,,,,
2025-01-06 15:46:48,192.168.47.138,202.253.82.185,allowed,medium,Brute-force attempt,,,,,
2025-01-20 08:56:06,192.168.87.80,64.106.92.172,allowed,high,Normal traffic,,,,,
2025-01-11 07:35:20,192.168.18.130,254.91.52.7,allowed,high,Port scan detected,,,,,
2025-01-07 10:00:41,192.168.101.58,40.233.147.33,allowed,critical,Port scan detected,,,,,
2025-01-02 22:04:32,192.168.110.182,158.231.96.51,blocked,medium,Brute-force attempt,,,,,
2025-01-09 03:00:54,192.168.20.176,228.124.236.222,blocked,critical,Malware signature found,,,,,
2025-01-28 09:46:50,192.168.95.162,128.226.16.217,allowed,critical,Suspicious outbound,,,,,
2025-01-01 02:22:43,192.168.120.228,247.2.134.193,allowed,critical,Normal traffic,,,,,
2025-01-06 21:17:22,192.168.41.180,244.199.27.84,blocked,medium,Normal traffic,,,,,
2025-01-30 15:31:39,192.168.8.159,151.180.114.86,allowed,critical,Port scan detected,,,,,
2025-01-27 04:14:42,192.168.208.156,210.11.145.38,allowed,critical,Brute-force attempt,,,,,
2025-01-09 12:44:16,192.168.34.26,111.99.43.14,blocked,medium,Suspicious outbound,,,,,
2025-01-11 14:41:36,192.168.156.149,69.239.225.77,blocked,medium,Malware signature found,,,,,
2025-01-02 05:37:54,192.168.66.87,53.87.213.240,allowed,medium,Brute-force attempt,,,,,
2025-01-02 11:41:20,192.168.220.190,156.195.45.133,allowed,medium,Suspicious outbound,,,,,
2025-01-24 04:11:31,192.168.128.193,48.154.101.96,allowed,medium,Port scan detected,,,,,
2025-01-24 07:08:23,192.168.0.143,21.69.238.210,blocked,high,Normal traffic,,,,,
2025-01-22 01:38:51,192.168.8.107,228.68.205.39,blocked,critical,Port scan detected,,,,,
2025-01-06 06:56:58,192.168.145.39,177.151.99.129,blocked,critical,Suspicious outbound,,,,,
2025-01-23 18:24:10,192.168.159.3,164.182.23.235,blocked,medium,Suspicious outbound,,,,,
2025-01-14 05:35:53,192.168.93.130,122.85.222.99,blocked,high,Malware signature found,,,,,
2025-01-26 05:30:08,192.168.95.143,20.31.250.26,blocked,medium,Malware signature found,,,,,
2025-01-24 13:01:46,192.168.193.154,120.59.5.204,allowed,critical,Malware signature found,,,,,
2025-01-10 06:55:34,192.168.50.250,201.174.67.233,blocked,high,Suspicious outbound,,,,,
2025-01-08 23:28:47,192.168.134.43,43.142.129.130,allowed,high,Port scan detected,,,,,
2025-01-18 00:33:26,192.168.124.34,211.169.132.122,allowed,high,Suspicious outbound,,,,,
2025-01-10 00:00:36,192.168.160.66,238.8.247.188,blocked,high,Brute-force attempt,,,,,
2025-01-03 12:29:29,192.168.112.206,53.161.211.91,allowed,medium,Brute-force attempt,,,,,
2025-01-02 09:05:43,192.168.90.252,1.235.104.55,blocked,high,Malware signature found,,,,,
2025-01-22 04:51:51,192.168.128.0,232.78.46.96,allowed,medium,Brute-force attempt,,,,,
2025-01-06 06:19:22,192.168.223.44,98.102.233.60,allowed,medium,Brute-force attempt,,,,,
2025-01-05 08:28:13,192.168.99.50,82.108.135.66,blocked,high,Brute-force attempt,,,,,
2025-01-14 16:09:30,192.168.236.228,113.220.13.11,allowed,high,Normal traffic,,,,,
2025-01-01 18:49:05,192.168.195.188,47.82.203.60,allowed,medium,Brute-force attempt,,,,,
2025-01-08 23:00:36,192.168.232.124,76.65.130.121,blocked,high,Brute-force attempt,,,,,
2025-01-22 21:54:02,192.168.54.4,238.134.200.210,allowed,high,Normal traffic,,,,,
2025-01-28 18:01:14,192.168.102.169,235.222.172.193,allowed,medium,Port scan detected,,,,,
2025-01-28 03:20:42,192.168.61.158,242.131.164.3,blocked,critical,Brute-force attempt,,,,,
2025-01-15 18:28:48,192.168.133.156,12.180.192.67,allowed,medium,Normal traffic,,,,,
2025-01-08 17:58:06,192.168.85.73,148.216.253.67,allowed,medium,Normal traffic,,,,,
2025-01-19 05:29:21,192.168.176.166,86.251.111.137,allowed,medium,Suspicious outbound,,,,,
2025-01-01 20:40:00,192.168.46.8,171.46.188.229,allowed,high,Normal traffic,,,,,
2025-01-29 22:17:13,192.168.250.169,186.224.36.137,allowed,high,Port scan detected,,,,,
2025-01-13 10:24:57,192.168.133.61,53.84.120.134,blocked,high,Suspicious outbound,,,,,
2025-01-24 16:23:02,192.168.229.246,133.22.49.8,allowed,high,Port scan detected,,,,,
2025-01-19 08:42:05,192.168.34.124,23.194.185.45,blocked,high,Suspicious outbound,,,,,
2025-01-19 10:20:49,192.168.220.200,115.84.88.52,blocked,critical,Brute-force attempt,,,,,
2025-01-09 00:53:12,192.168.92.129,64.179.58.247,blocked,high,Brute-force attempt,,,,,
2025-01-04 15:49:53,192.168.7.148,78.234.86.40,blocked,medium,Port scan detected,,,,,
2025-01-01 02:15:22,192.168.91.184,113.39.74.114,allowed,medium,Brute-force attempt,,,,,
2025-01-16 01:21:16,192.168.225.243,159.36.90.91,allowed,high,Malware signature found,,,,,
2025-01-09 12:57:18,192.168.78.114,240.186.250.143,allowed,medium,Brute-force attempt,,,,,
2025-01-03 01:17:28,192.168.63.24,80.57.219.147,allowed,medium,Suspicious outbound,,,,,
2025-01-08 06:52:38,192.168.229.38,218.60.69.247,blocked,high,Normal traffic,,,,,
2025-01-19 23:28:48,192.168.172.73,79.204.244.102,blocked,high,Malware signature found,,,,,
2025-01-15 19:31:47,192.168.112.214,233.29.68.170,allowed,medium,Malware signature found,,,,,
2025-01-12 22:33:37,192.168.185.18,107.144.1.5,allowed,medium,Brute-force attempt,,,,,
2025-01-16 04:51:57,192.168.167.250,223.79.115.137,allowed,medium,Port scan detected,,,,,
2025-01-19 12:40:28,192.168.42.171,152.164.190.211,allowed,critical,Malware signature found,,,,,
2025-01-16 17:50:46,192.168.41.41,219.244.255.136,blocked,high,Normal traffic,,,,,
2025-01-08 03:45:43,192.168.251.98,8.134.213.228,allowed,high,Normal traffic,,,,,
2025-01-13 13:42:03,192.168.221.38,60.50.153.117,allowed,high,Port scan detected,,,,,
2025-01-16 22:02:45,192.168.150.17,92.254.1.185,allowed,high,Brute-force attempt,,,,,
2025-01-25 10:57:44,192.168.178.91,198.252.191.141,allowed,high,Port scan detected,,,,,
2025-01-07 11:27:16,192.168.45.88,88.199.87.7,allowed,medium,Malware signature found,,,,,
2025-01-12 19:52:58,192.168.152.67,106.198.26.4,allowed,medium,Suspicious outbound,,,,,
2025-01-19 05:46:13,192.168.153.212,193.156.92.108,allowed,high,Port scan detected,,,,,
2025-01-09 21:26:06,192.168.110.117,20.89.24.84,allowed,medium,Normal traffic,,,,,
2025-01-08 13:50:50,192.168.32.32,180.50.206.63,blocked,high,Normal traffic,,,,,
2025-01-19 07:04:02,192.168.55.249,193.224.25.148,allowed,medium,Normal traffic,,,,,
2025-01-15 07:27:56,192.168.215.248,55.153.179.233,allowed,medium,Suspicious outbound,,,,,
2025-01-21 09:50:12,192.168.26.29,222.226.198.66,blocked,medium,Malware signature found,,,,,
2025-01-21 05:11:10,192.168.142.8,236.99.206.26,blocked,medium,Brute-force attempt,,,,,
2025-01-12 20:29:12,192.168.53.51,241.247.156.39,allowed,medium,Normal traffic,,,,,
2025-01-17 09:23:30,192.168.230.38,175.161.38.146,allowed,high,Normal traffic,,,,,
2025-01-13 13:16:09,192.168.124.116,31.127.13.202,blocked,medium,Malware signature found,,,,,
2025-01-06 03:46:10,192.168.5.36,87.198.186.113,allowed,medium,Normal traffic,,,,,
2025-01-30 21:00:44,192.168.217.15,114.99.65.123,blocked,medium,Malware signature found,,,,,
2025-01-03 17:08:19,192.168.198.142,18.136.106.70,blocked,critical,Normal traffic,,,,,
2025-01-03 11:52:50,192.168.123.246,86.140.20.211,blocked,critical,Malware signature found,,,,,
2025-01-05 05:21:17,192.168.153.73,255.220.30.198,allowed,medium,Brute-force attempt,,,,,
2025-01-10 19:17:30,192.168.147.36,80.84.252.94,blocked,high,Malware signature found,,,,,
2025-01-04 14:17:37,192.168.116.141,183.47.193.69,allowed,critical,Suspicious outbound,,,,,
2025-01-23 17:36:53,192.168.217.108,216.146.83.162,allowed,medium,Brute-force attempt,,,,,
2025-01-05 03:21:12,192.168.157.144,129.77.151.34,allowed,critical,Malware signature found,,,,,
2025-01-25 10:56:41,192.168.128.184,162.76.209.71,allowed,medium,Port scan detected,,,,,
2025-01-20 05:19:36,192.168.174.64,239.11.242.167,allowed,high,Port scan detected,,,,,
2025-01-15 05:32:53,192.168.140.50,86.162.148.188,allowed,medium,Brute-force attempt,,,,,
2025-01-26 15:39:49,192.168.173.93,95.244.34.76,allowed,medium,Suspicious outbound,,,,,
2025-01-19 10:20:16,192.168.109.88,92.81.43.97,allowed,medium,Brute-force attempt,,,,,
2025-01-30 04:31:26,192.168.14.71,180.124.228.225,allowed,high,Normal traffic,,,,,
2025-01-29 05:52:47,192.168.152.173,196.162.47.126,blocked,high,Malware signature found,,,,,
2025-01-29 18:44:53,192.168.101.43,50.190.74.252,allowed,high,Brute-force attempt,,,,,
2025-01-10 03:46:38,192.168.188.70,170.84.176.105,blocked,high,Normal traffic,,,,,
2025-01-06 08:28:10,192.168.204.209,170.54.138.109,blocked,high,Port scan detected,,,,,
2025-01-30 09:29:56,192.168.145.145,234.253.64.49,allowed,medium,Suspicious outbound,,,,,
2025-01-22 18:26:24,192.168.71.154,132.46.114.182,blocked,medium,Brute-force attempt,,,,,
2025-01-25 02:56:16,192.168.18.7,236.202.154.51,blocked,medium,Suspicious outbound,,,,,
2025-01-01 05:17:08,192.168.137.245,189.22.16.4,blocked,medium,Brute-force attempt,,,,,
2025-01-11 17:02:06,192.168.73.35,102.75.42.202,allowed,critical,Suspicious outbound,,,,,
2025-01-10 01:54:26,192.168.17.138,172.210.61.217,allowed,high,Malware signature found,,,,,
2025-01-02 13:45:54,192.168.213.118,71.28.221.208,blocked,medium,Brute-force attempt,,,,,
2025-01-03 04:43:56,192.168.199.68,255.38.33.53,blocked,critical,Malware signature found,,,,,
2025-01-05 11:23:26,192.168.94.204,158.68.119.193,allowed,high,Port scan detected,,,,,
2025-01-15 10:30:56,192.168.30.222,124.1.87.148,blocked,critical,Normal traffic,,,,,
2025-01-03 18:48:30,192.168.23.169,231.254.230.249,allowed,high,Brute-force attempt,,,,,
2025-01-28 20:09:14,192.168.42.103,51.119.112.20,allowed,medium,Malware signature found,,,,,
2025-01-02 20:12:15,192.168.53.108,32.251.238.97,allowed,medium,Normal traffic,,,,,
2025-01-25 19:18:34,192.168.228.107,88.158.131.156,blocked,medium,Normal traffic,,,,,
2025-01-18 15:01:27,192.168.182.179,189.61.14.195,blocked,high,Port scan detected,,,,,
2025-01-14 14:27:03,192.168.241.91,200.144.163.73,allowed,medium,Normal traffic,,,,,
2025-01-09 06:39:12,192.168.86.238,120.141.68.58,allowed,medium,Port scan detected,,,,,
2025-01-06 03:01:09,192.168.25.91,120.109.253.96,allowed,medium,Normal traffic,,,,,
2025-01-07 00:17:35,192.168.200.202,133.37.133.210,allowed,medium,Normal traffic,,,,,
2025-01-15 14:43:00,192.168.145.79,216.235.36.64,blocked,medium,Port scan detected,,,,,
2025-01-12 14:19:34,192.168.134.221,58.137.50.47,blocked,high,Normal traffic,,,,,
2025-01-25 02:45:48,192.168.108.10,173.189.76.216,blocked,critical,Suspicious outbound,,,,,
2025-01-08 14:50:44,192.168.106.145,105.160.174.204,allowed,critical,Port scan detected,,,,,
2025-01-06 11:10:33,192.168.125.204,199.195.120.25,allowed,high,Suspicious outbound,,,,,
2025-01-12 14:16:15,192.168.32.70,244.255.105.26,blocked,critical,Port scan detected,,,,,
2025-01-19 01:50:17,192.168.153.199,197.14.49.225,allowed,high,Brute-force attempt,,,,,
2025-01-16 22:29:31,192.168.120.193,120.229.194.249,allowed,medium,Suspicious outbound,,,,,
2025-01-06 03:56:54,192.168.249.149,139.249.195.166,allowed,medium,Suspicious outbound,,,,,
2025-01-10 07:58:08,192.168.17.105,136.217.85.223,allowed,medium,Brute-force attempt,,,,,
2025-01-22 10:53:40,192.168.38.107,100.168.162.163,allowed,critical,Normal traffic,,,,,
2025-01-26 05:25:12,192.168.116.189,252.12.150.247,allowed,medium,Malware signature found,,,,,
2025-01-21 13:35:45,192.168.39.82,149.79.60.21,allowed,high,Port scan detected,,,,,
2025-01-16 22:53:28,192.168.219.87,13.191.14.201,allowed,critical,Normal traffic,,,,,
2025-01-28 20:40:26,192.168.224.193,35.181.78.21,allowed,medium,Port scan detected,,,,,
2025-01-14 13:18:07,192.168.34.144,152.146.155.16,allowed,medium,Malware signature found,,,,,
2025-01-30 05:42:00,192.168.84.222,1.47.58.99,blocked,medium,Port scan detected,,,,,
2025-01-23 06:57:17,192.168.238.173,34.169.92.38,allowed,medium,Port scan detected,,,,,
2025-01-19 06:25:57,192.168.106.145,14.213.56.236,blocked,critical,Suspicious outbound,,,,,
2025-01-22 03:13:07,192.168.20.47,83.90.241.78,allowed,medium,Malware signature found,,,,,
2025-01-27 04:26:20,192.168.23.130,76.198.98.112,allowed,medium,Malware signature found,,,,,
2025-01-03 09:59:16,192.168.170.159,104.23.161.175,allowed,critical,Normal traffic,,,,,
2025-01-22 04:07:37,192.168.118.60,54.233.32.25,allowed,critical,Malware signature found,,,,,
2025-01-22 10:02:04,192.168.120.27,153.181.152.18,allowed,medium,Brute-force attempt,,,,,
2025-01-02 23:22:48,192.168.217.182,213.26.23.239,blocked,high,Malware signature found,,,,,
2025-01-11 03:35:51,192.168.100.107,183.117.54.250,blocked,high,Port scan detected,,,,,
2025-01-20 17:34:46,192.168.143.45,32.83.155.173,allowed,high,Brute-force attempt,,,,,
2025-01-16 09:47:46,192.168.238.39,177.52.164.128,blocked,medium,Suspicious outbound,,,,,
2025-01-09 21:40:30,192.168.191.24,21.148.159.68,blocked,medium,Port scan detected,,,,,
2025-01-28 23:06:01,192.168.103.77,48.179.96.50,blocked,critical,Suspicious outbound,,,,,
2025-01-04 06:17:56,192.168.200.3,135.203.30.36,allowed,critical,Malware signature found,,,,,
2025-01-23 19:22:14,192.168.99.192,39.236.58.123,blocked,high,Port scan detected,,,,,
2025-01-08 08:42:38,192.168.201.236,127.87.34.186,allowed,medium,Normal traffic,,,,,
2025-01-22 12:02:00,192.168.77.208,148.117.11.54,blocked,high,Normal traffic,,,,,
2025-01-09 05:20:12,192.168.56.50,227.30.12.16,blocked,medium,Port scan detected,,,,,
2025-01-04 10:53:47,192.168.22.28,212.40.169.194,allowed,medium,Normal traffic,,,,,
2025-01-26 05:38:48,192.168.44.101,122.124.220.161,blocked,high,Suspicious outbound,,,,,
2025-01-18 10:39:22,192.168.47.94,221.87.119.5,allowed,critical,Normal traffic,,,,,
2025-01-21 17:42:09,192.168.249.39,93.13.33.237,allowed,medium,Suspicious outbound,,,,,
2025-01-05 20:54:12,192.168.19.36,198.207.169.138,blocked,medium,Malware signature found,,,,,
2025-01-10 17:24:08,192.168.59.63,6.110.29.217,allowed,medium,Port scan detected,,,,,
2025-01-23 00:17:43,192.168.53.173,7.188.92.228,allowed,high,Malware signature found,,,,,
2025-01-23 04:37:58,192.168.121.169,232.247.147.69,allowed,medium,Suspicious outbound,,,,,
2025-01-01 23:33:03,192.168.250.40,146.94.171.73,blocked,medium,Brute-force attempt,,,,,
2025-01-25 01:06:46,192.168.219.14,19.108.75.18,allowed,medium,Suspicious outbound,,,,,
2025-01-03 02:39:41,192.168.192.134,249.230.1.32,allowed,medium,Brute-force attempt,,,,,
2025-01-10 11:10:47,192.168.134.15,114.182.38.210,allowed,critical,Suspicious outbound,,,,,
2025-01-05 23:00:54,192.168.145.156,104.254.60.60,blocked,critical,Port scan detected,,,,,
2025-01-27 12:37:10,192.168.131.136,106.78.24.115,allowed,high,Brute-force attempt,,,,,
2025-01-23 19:38:55,192.168.168.183,182.169.195.89,blocked,medium,Brute-force attempt,,,,,
2025-01-03 03:30:36,192.168.4.217,22.199.3.71,blocked,critical,Malware signature found,,,,,
2025-01-22 18:32:51,192.168.52.31,90.208.37.133,allowed,medium,Port scan detected,,,,,
2025-01-21 03:47:28,192.168.124.204,43.141.76.146,allowed,medium,Normal traffic,,,,,
2025-01-15 23:44:26,192.168.120.151,69.148.67.36,allowed,medium,Suspicious outbound,,,,,
2025-01-29 22:01:14,192.168.254.114,51.8.102.65,allowed,medium,Suspicious outbound,,,,,
2025-01-22 14:45:22,192.168.91.160,152.102.145.77,allowed,high,Normal traffic,,,,,
2025-01-01 06:49:27,192.168.99.216,114.108.104.114,blocked,critical,Suspicious outbound,,,,,
2025-01-19 18:30:40,192.168.87.104,222.83.128.75,allowed,medium,Port scan detected,,,,,
2025-01-17 03:59:25,192.168.78.173,101.213.226.160,allowed,medium,Suspicious outbound,,,,,
2025-01-15 17:23:18,192.168.74.86,97.78.240.64,allowed,critical,Malware signature found,,,,,
2025-01-04 10:31:45,192.168.133.202,175.152.86.186,allowed,high,Suspicious outbound,,,,,
2025-01-01 09:22:37,192.168.14.218,36.243.187.246,allowed,high,Brute-force attempt,,,,,
2025-01-03 22:20:23,192.168.60.107,4.114.242.87,blocked,medium,Malware signature found,,,,,
2025-01-12 20:11:53,192.168.50.55,97.244.199.143,blocked,medium,Malware signature found,,,,,
2025-01-25 03:45:23,192.168.52.124,139.87.218.221,blocked,medium,Brute-force attempt,,,,,
2025-01-01 09:15:03,192.168.197.186,36.228.156.15,blocked,high,Malware signature found,,,,,
2025-01-06 08:38:15,192.168.152.14,27.190.163.177,allowed,critical,Normal traffic,,,,,
2025-01-18 12:58:08,192.168.15.133,127.49.93.48,blocked,medium,Brute-force attempt,,,,,
2025-01-05 06:26:30,192.168.174.161,35.37.13.189,allowed,critical,Brute-force attempt,,,,,
2025-01-05 23:14:15,192.168.251.141,76.141.123.175,allowed,medium,Brute-force attempt,,,,,
2025-01-21 08:25:01,192.168.0.66,15.120.2.199,blocked,medium,Normal traffic,,,,,
2025-01-07 21:51:36,192.168.8.67,148.94.24.114,blocked,medium,Malware signature found,,,,,
2025-01-09 21:55:07,192.168.243.8,254.55.172.246,blocked,medium,Brute-force attempt,,,,,
2025-01-14 19:57:01,192.168.49.206,233.102.238.125,allowed,critical,Suspicious outbound,,,,,
2025-01-29 16:33:19,192.168.63.88,247.176.214.254,allowed,critical,Brute-force attempt,,,,,
2025-01-27 20:55:49,192.168.66.120,153.218.255.181,blocked,medium,Brute-force attempt,,,,,
2025-01-23 08:28:41,192.168.147.69,145.193.55.246,allowed,high,Port scan detected,,,,,
2025-01-28 07:17:43,192.168.248.146,215.151.110.166,allowed,high,Brute-force attempt,,,,,
2025-01-16 16:16:48,192.168.246.150,126.41.199.75,allowed,medium,Port scan detected,,,,,
2025-01-23 21:50:04,192.168.240.123,34.126.202.36,blocked,high,Malware signature found,,,,,
2025-01-28 14:02:17,192.168.69.98,154.164.251.26,allowed,critical,Brute-force attempt,,,,,
